127.0.0.1 - - [30/Dec/2018:06:45:04 -0800] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [30/Dec/2018:06:45:15 -0800] "GET /Boot-EMS/ HTTP/1.1" 200 416
0:0:0:0:0:0:0:1 - - [30/Dec/2018:06:46:28 -0800] "GET /Boot-EMS/ HTTP/1.1" 200 416
0:0:0:0:0:0:0:1 - - [30/Dec/2018:06:46:33 -0800] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [30/Dec/2018:06:46:59 -0800] "GET /Boot-EMS/employee HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [30/Dec/2018:06:47:19 -0800] "GET /Boot-EMS/employee HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [30/Dec/2018:06:47:25 -0800] "GET /Boot-EMS/employee HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [30/Dec/2018:06:47:30 -0800] "GET /Boot-EMS/showemployee HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [30/Dec/2018:06:49:45 -0800] "GET /Boot-EMS/employee HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [30/Dec/2018:06:51:38 -0800] "GET /Boot-EMS/showemployee HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [30/Dec/2018:06:51:39 -0800] "GET /Boot-EMS/showemployee HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [30/Dec/2018:06:51:40 -0800] "GET /Boot-EMS/showemployee HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [30/Dec/2018:06:51:44 -0800] "GET /Boot-EMS/showemployee HTTP/1.1" 404 1098
